"Note","Course","Module","Clip","Time in Clip","URL"
"What is Java? Java is:\n1 - a programming language\n2 - a runtime environment (JRE/ Java SE- Standard Edition)","Java Fundamentals: The Core Platform","Introduction","The Role of the Java Core Platform","0:05","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m1&clip=1&mode=live&start=5.442012&noteid=a4fd72b1-9e7c-40b1-bc8f-82e27c3e196b"
"Android:\n- a Java-based environment, but it's provided by Google, and it's developed separately from the other Java environments","Java Fundamentals: The Core Platform","Introduction","The Role of the Java Core Platform","2:59","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m1&clip=1&mode=live&start=179.898533&noteid=46400fba-14f4-483e-b790-50b8c889c506"
"Java EE- Enterprise Edition, is built on top of the JRE","Java Fundamentals: The Core Platform","Introduction","The Role of the Java Core Platform","4:07","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m1&clip=1&mode=live&start=247.789114&noteid=5ea56485-65be-497c-9ae8-6b89c4cefa03"
"Streams:\n- a stream is an ordered sequence of data\n  - it provides a common I/O model\n  - abstracts details of underlying source or destination\n  - stream types are unidirectional: you're either going to read to the stream or write to the stream; no single stream does both\n- 2 categories of streams:\n  - Byte Streams\n    - interact as binary data\n  - Text Streams:\n    - interact as Unicode characters\n- in general interaction is the same for both stream types","Java Fundamentals: The Core Platform","Input and Output with Streams and Files","Streams Overview","0:01","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m2&clip=1&mode=live&start=1.14025&noteid=d71da3d9-a1b8-4629-afc2-f26c2f46f778"
"Read-From Streams:\n- Base class for reading from binary data is a class called InputStream\n- Base class for reading from text data is called Reader\n- both have a read() method that returns an int\n  - as long as the int returned is >=0, you have not reached the end of the stream","Java Fundamentals: The Core Platform","Input and Output with Streams and Files","Reading and Writing with Streams","0:02","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m2&clip=2&mode=live&start=2.453444&noteid=203e74c8-0d03-4b0e-8bc3-17a1cdfdfa49"
"Reading One Byte at a Time:\nInputStream input = // create input stream\nint intVal;\nwhile((intVal = input.read())>=0){\n  byte byteVal = (byte) intVal;\n// do something with byteVal\n}","Java Fundamentals: The Core Platform","Input and Output with Streams and Files","Reading and Writing with Streams","1:15","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m2&clip=2&mode=live&start=75.975078&noteid=7ebdaf46-4342-441a-bd44-200d94f433f0"
"Reading One Character at a Time:\nReader reader = // create reader\nint intVal;\nwhile((intVal = reader.read())>=0){\n char charVal = (char) intVal;\n// do something with charVal\n}","Java Fundamentals: The Core Platform","Input and Output with Streams and Files","Reading and Writing with Streams","1:53","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m2&clip=2&mode=live&start=113.937622&noteid=12d43cd3-2b60-46e2-9d56-c4d59e043173"
"Reading Arrays:\n- InputStream has a method:\n - int read(byte[] buff): it''ll read all the bytes that will fit into that array\n- Reader has a method:\n - int read(char [] buff): it''ll read all the characters that will fit into the character array\n- both methods return an int, but in this case the int returned represents the number of bytes/chars ACTUALLY read (since the array isn't necessarily full). But it will still return a -1 at the end of the stream.","Java Fundamentals: The Core Platform","Input and Output with Streams and Files","Reading and Writing with Streams","3:16","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m2&clip=2&mode=live&start=196.676978&noteid=827d93f1-f5ca-4115-af35-ef0be4c0d207"
"Reading Array of Bytes:\nInputStream input = // create input stream\nint length;\nbyte[] byteBuff = new byte[10] //this is the array that we want to read into\nwhile((length = input.read(byteBuff))>=0){\nfor(int i=0;i<length;i++){\n byte byteVal = byteBuff[i];\n// do something with byteVal\n  }\n}","Java Fundamentals: The Core Platform","Input and Output with Streams and Files","Reading and Writing with Streams","3:16","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m2&clip=2&mode=live&start=196.676978&noteid=0d4c3f67-32ca-4c5f-b262-1b0b5fa63674"
"Reading Array of Characters:\nReader reader = // create reader\nint length;\nchar[] charBuff = new char[10] //this is the array that we want to read into\nwhile((length = reader.read(charBuff))>=0){\nfor(int i=0;i<length;i++){\nchar charVal = charBuff[i];\n// do something with charVal\n }\n}","Java Fundamentals: The Core Platform","Input and Output with Streams and Files","Reading and Writing with Streams","4:01","https://app.pluralsight.com/player?course=java-fundamentals-core-platform&author=jim-wilson&name=java-fundamentals-core-platform-m2&clip=2&mode=live&start=241.035413&noteid=d5e9306f-6080-464f-9470-ca4350ace0c8"
