"Note","Course","Module","Clip","Time in Clip","URL"
"Java is both a programming language and a runtime environment\n\nImportant Note:\n- TO ACCESS THE FIRST ARGUMENT PROVIDED BY THE USER, YOU ACCESS ARGS[0]","Java Fundamentals: The Java Language","Introduction and Setting up Your Environment","What Is Java","0:23","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m1&clip=3&mode=live&start=23.414679&noteid=23027b91-8804-495a-bd03-9bd3784d8d4d"
" Java SE, EE, ME, FX, Android all support Java","Java Fundamentals: The Java Language","Introduction and Setting up Your Environment","What Is Java","0:51","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m1&clip=3&mode=live&start=51.735679&noteid=6e96ace1-b45a-43b7-a5b2-0c00ead546c6"
"  JRE - Java Runtime Environment\n  JDK - Java Developing Kit\n","Java Fundamentals: The Java Language","Introduction and Setting up Your Environment","What Is Java","1:25","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m1&clip=3&mode=live&start=85.205378&noteid=78f411e4-31c8-4879-977d-c251657d10f3"
" JRE\n- required to run Java apps\n- End-users normally require only the JRE","Java Fundamentals: The Java Language","Introduction and Setting up Your Environment","JRE vs. JDK","0:18","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m1&clip=4&mode=live&start=18.772765&noteid=4d000063-908e-4201-b064-12dd8d788121"
"JDK\n- provides tools required to create java apps\n- developers nomally require the JDK\n- JDK installation includes a JRE","Java Fundamentals: The Java Language","Introduction and Setting up Your Environment","JRE vs. JDK","0:37","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m1&clip=4&mode=live&start=37.559423&noteid=52da4b85-70c3-4302-bbba-41ff6e276ff7"
"IDE - Integrated Development Environment","Java Fundamentals: The Java Language","Introduction and Setting up Your Environment","Integrated Development Environments (IDE)","0:11","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m1&clip=6&mode=live&start=11.664434&noteid=8a2eb3c8-c55c-4e91-b635-c302d2a88e5a"
"IDEs allow you to type, compile, debug, and all in one place","Java Fundamentals: The Java Language","Introduction and Setting up Your Environment","Integrated Development Environments (IDE)","0:34","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m1&clip=6&mode=live&start=34.025777&noteid=8aae3277-dcf9-400c-ae8d-cad8d16cd94e"
"public static void main(String[] args)","Java Fundamentals: The Java Language","Creating a Simple App","Demo: Creating Your First IntelliJ Project","3:43","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=1&mode=live&start=223.223643&noteid=bc4bbdc7-c79c-4e0f-928b-5089af9df9b3"
"java Main\n\n- used to run Main.class file in terminal","Java Fundamentals: The Java Language","Creating a Simple App","Demo: Running from the Command Line","5:30","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=2&mode=live&start=330.492017&noteid=586c7f7d-b1d5-4f98-992d-ed382773ba23"
"javac Main.java\n\n- used to compile in terminal","Java Fundamentals: The Java Language","Creating a Simple App","Statement Structure and Whitespace","2:06","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=3&mode=live&start=126.294819&noteid=9baf3a47-2147-428a-bff0-2e051df4c8bc"
